sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret,age_bucket,imc_cat
H,non,master,Île-de-France,non,oui,2679,veuf,,0.8,2024-07-30,504.0,5000.0,24776.40156737597,jeune,normal
H,non,aucun,Occitanie,non,oui,1346,,,0.93,2021-05-29,,,2151.253609039803,senior,normal
F,oui,bac+2,Corse,non,oui,1039,célibataire,4.0,0.68,2023-09-29,,10000.0,5377.4359066227125,jeune,surpoids
H,non,master,Auvergne-Rhône-Alpes,oui,non,3829,célibataire,1.0,0.04,2021-10-13,,,500.0,retraite,insuffisant
F,non,doctorat,Corse,non,oui,5645,veuf,5.0,0.44,2024-03-31,690.0,10000.0,23263.81823794237,,surpoids
F,oui,bac+2,Occitanie,oui,non,3743,célibataire,,0.94,2021-03-02,735.0,10000.0,500.0,adulte,normal
H,oui,aucun,Auvergne-Rhône-Alpes,non,oui,3562,divorcé,5.0,0.1,2021-07-20,753.0,,25932.37750370768,jeune,normal
F,oui,aucun,Île-de-France,oui,non,2258,veuf,2.0,0.44,2024-07-15,,,500.0,retraite,normal
H,oui,master,Auvergne-Rhône-Alpes,oui,non,2940,marié,,0.84,2021-03-09,642.0,10000.0,500.0,retraite,normal
H,oui,master,Corse,oui,non,2938,,1.0,0.13,2023-04-06,,5000.0,500.0,senior,normal
H,oui,doctorat,Bretagne,oui,non,3201,,,0.9,2025-01-06,706.0,10000.0,10974.19548310474,retraite,normal
H,non,bac,Normandie,oui,non,1984,célibataire,,0.97,2021-02-23,,,500.0,senior,normal
F,oui,bac+2,Corse,non,oui,2842,célibataire,4.0,0.37,2022-01-09,,10000.0,14628.460631927765,retraite,insuffisant
F,non,master,Île-de-France,oui,oui,2310,marié,,0.44,2025-05-23,,,13526.643330258712,retraite,insuffisant
F,oui,master,Occitanie,non,oui,3289,veuf,,0.85,2024-10-24,448.0,582.39,22364.985659357644,adulte,surpoids
F,non,aucun,Île-de-France,oui,non,3055,,2.0,0.54,2022-03-29,686.0,,500.0,adulte,obese
F,oui,doctorat,Corse,non,oui,2729,marié,,0.4,2024-03-05,419.0,,20714.46594528287,adulte,normal
H,non,doctorat,Hauts-de-France,oui,oui,500,,,0.21,2021-01-08,,,13895.776251207084,,surpoids
F,non,master,Bretagne,oui,non,2490,célibataire,2.0,0.23,2022-12-29,,798.15,500.0,senior,obese
F,oui,aucun,Occitanie,non,non,2434,veuf,,0.95,2022-03-17,473.0,5000.0,500.0,retraite,surpoids
H,oui,bac,Île-de-France,oui,oui,2760,veuf,,0.77,2020-11-09,,5000.0,17089.72304557635,retraite,obese
F,non,doctorat,Bretagne,non,oui,3276,divorcé,,0.5,2020-04-28,,,34796.85400708748,retraite,normal
F,non,doctorat,Provence-Alpes-Côte d’Azur,non,oui,2193,veuf,,0.95,2025-04-24,827.0,,28162.834906399592,adulte,normal
F,oui,doctorat,Île-de-France,oui,non,3060,divorcé,3.0,0.11,2022-01-30,739.0,5000.0,8243.367217368506,adulte,surpoids
F,oui,aucun,Normandie,oui,oui,2997,,3.0,0.87,2025-05-04,805.0,,500.0,jeune,obese
H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,1167,veuf,,0.38,2020-12-08,349.0,719.08,3328.8424402473306,adulte,normal
H,oui,aucun,Occitanie,non,oui,2200,célibataire,0.0,0.47,2022-10-12,,,17015.694884436813,adulte,insuffisant
F,non,bac+2,Corse,non,oui,1731,,,0.29,2022-12-01,754.0,,2333.869952457323,adulte,normal
F,non,bac,Corse,oui,oui,2812,divorcé,,0.25,2020-09-30,648.0,10000.0,500.0,senior,normal
H,non,aucun,Occitanie,oui,oui,2232,divorcé,2.0,0.62,2023-02-04,569.0,,500.0,jeune,surpoids
H,non,bac,Occitanie,oui,oui,1526,marié,,0.08,2024-11-13,407.0,5000.0,9095.58278338632,retraite,normal
H,non,bac,Bretagne,non,oui,2329,veuf,,0.42,2023-05-21,,,16155.906746309356,senior,surpoids
F,oui,aucun,Hauts-de-France,non,oui,3733,,,0.34,2021-05-01,422.0,,5149.728824917103,jeune,insuffisant
F,non,doctorat,Bretagne,non,non,500,divorcé,5.0,0.38,2020-09-29,,5000.0,500.0,retraite,normal
F,non,bac+2,Normandie,oui,non,500,célibataire,5.0,0.26,2023-04-25,,548.06,500.0,senior,insuffisant
F,non,aucun,Corse,non,non,3329,,0.0,0.72,2020-09-19,612.0,10000.0,500.0,retraite,normal
F,non,bac+2,Corse,non,non,4806,divorcé,,0.2,2025-02-25,,5000.0,500.0,senior,insuffisant
F,non,bac,Auvergne-Rhône-Alpes,oui,oui,500,divorcé,1.0,0.62,2020-04-22,456.0,5000.0,500.0,senior,normal
F,non,doctorat,Normandie,oui,oui,1181,divorcé,4.0,0.05,2020-06-09,,5000.0,500.0,senior,normal
H,oui,master,Bretagne,non,oui,3401,célibataire,4.0,0.71,2020-10-24,465.0,10000.0,32916.89585109401,jeune,normal
H,non,aucun,Corse,non,non,3338,,,0.21,2024-03-04,490.0,10000.0,500.0,jeune,surpoids
H,oui,aucun,Auvergne-Rhône-Alpes,non,non,1997,,,0.76,2024-06-23,755.0,991.69,500.0,adulte,surpoids
F,non,master,Occitanie,oui,non,1410,célibataire,4.0,0.68,2025-01-04,,,500.0,adulte,normal
H,non,doctorat,Provence-Alpes-Côte d’Azur,non,oui,2203,,,0.59,2023-04-08,,,29886.90863760261,jeune,normal
H,oui,bac,Provence-Alpes-Côte d’Azur,non,oui,2371,,4.0,0.69,2022-11-22,825.0,543.26,23746.99647292048,senior,obese
F,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,500,célibataire,3.0,0.24,2022-07-11,513.0,10000.0,500.0,senior,surpoids
H,oui,doctorat,Corse,oui,non,2564,,4.0,0.03,2022-09-24,,663.52,500.0,jeune,surpoids
F,non,doctorat,Normandie,oui,oui,3198,,,0.89,2024-06-22,,388.41,15028.581820523268,senior,insuffisant
H,non,bac+2,Corse,non,non,2306,célibataire,0.0,0.64,2021-07-27,,,500.0,senior,surpoids
H,oui,aucun,Hauts-de-France,non,oui,3234,divorcé,,0.52,2021-07-11,,,8600.648893706006,adulte,obese
H,oui,doctorat,Île-de-France,oui,non,3070,marié,,0.58,2022-12-17,791.0,5000.0,9825.729814473463,jeune,obese
H,oui,master,Occitanie,non,oui,500,marié,0.0,0.1,2020-05-23,,10000.0,17036.680201676703,jeune,surpoids
F,oui,aucun,Normandie,oui,non,2655,,1.0,0.09,2023-12-24,321.0,10000.0,500.0,retraite,insuffisant
H,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,3123,marié,,0.65,2022-09-06,806.0,5000.0,20396.247744681383,adulte,normal
F,oui,master,Corse,oui,oui,1058,marié,,0.46,2022-04-19,576.0,1287.43,500.0,retraite,surpoids
H,oui,aucun,Île-de-France,oui,non,1137,,,0.52,2020-07-26,648.0,,500.0,senior,normal
F,non,aucun,Auvergne-Rhône-Alpes,non,non,3155,,,0.32,2021-11-13,,10000.0,500.0,retraite,surpoids
H,non,aucun,Occitanie,non,non,785,divorcé,,0.33,2020-08-20,324.0,,500.0,adulte,insuffisant
H,oui,master,Normandie,oui,non,2613,célibataire,,0.25,2021-11-05,658.0,10000.0,500.0,jeune,obese
H,non,bac,Auvergne-Rhône-Alpes,non,oui,2430,veuf,,0.05,2021-08-30,,,2179.9540644179174,senior,normal
F,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,1975,veuf,,0.97,2024-08-20,,10000.0,500.0,adulte,normal
H,non,bac,Corse,oui,oui,3535,veuf,,0.88,2023-02-18,649.0,5000.0,500.0,jeune,normal
F,oui,master,Hauts-de-France,non,oui,3202,,,0.37,2022-02-10,,10000.0,23124.572672263635,jeune,normal
F,oui,aucun,Auvergne-Rhône-Alpes,non,non,3067,divorcé,,0.33,2023-11-15,690.0,,500.0,retraite,normal
F,non,bac,Auvergne-Rhône-Alpes,oui,oui,4583,,,0.45,2022-07-21,,789.54,7300.042929230574,retraite,obese
F,non,doctorat,Auvergne-Rhône-Alpes,non,non,2251,célibataire,,0.58,2024-06-18,,410.51,500.0,adulte,normal
H,non,bac,Bretagne,non,non,3998,marié,,0.63,2020-09-04,713.0,418.79,500.0,jeune,insuffisant
F,non,bac,Normandie,oui,oui,4143,,3.0,0.71,2022-11-16,,5000.0,4492.145732725343,jeune,normal
F,oui,bac,Auvergne-Rhône-Alpes,oui,non,1881,célibataire,,0.72,2020-12-12,,847.92,500.0,retraite,normal
F,non,bac,Occitanie,non,oui,1851,marié,,0.97,2023-12-14,,5000.0,500.0,senior,insuffisant
F,non,aucun,Occitanie,oui,oui,1449,veuf,3.0,0.43,2021-07-08,,10000.0,500.0,senior,obese
F,non,bac+2,Île-de-France,oui,oui,1223,divorcé,,0.2,2020-04-10,,868.62,500.0,jeune,obese
F,oui,aucun,Corse,non,non,2916,divorcé,,0.48,2023-12-16,540.0,10000.0,500.0,retraite,normal
F,non,aucun,Hauts-de-France,oui,non,2811,divorcé,,0.37,2025-02-17,,5000.0,500.0,retraite,surpoids
F,non,master,Auvergne-Rhône-Alpes,non,oui,4947,célibataire,,0.0,2024-04-13,,,25151.281467326688,retraite,obese
H,non,doctorat,Corse,oui,oui,2937,veuf,,0.3,2022-08-29,,10000.0,7911.083974614097,senior,obese
F,non,doctorat,Occitanie,non,oui,2670,veuf,3.0,0.98,2024-03-03,801.0,5000.0,36896.60980019855,retraite,surpoids
F,oui,doctorat,Occitanie,non,non,2189,veuf,2.0,0.85,2020-04-24,,5000.0,1998.9243449274347,adulte,surpoids
F,oui,master,Hauts-de-France,oui,non,2903,,1.0,0.25,2020-12-21,807.0,1055.61,500.0,adulte,insuffisant
F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2470,divorcé,1.0,0.78,2023-12-05,464.0,5000.0,10783.05855056268,retraite,normal
H,non,aucun,Provence-Alpes-Côte d’Azur,oui,non,2021,,,0.47,2020-09-20,574.0,,500.0,adulte,surpoids
H,non,doctorat,Normandie,non,non,4857,,,0.19,2021-09-11,,5000.0,12507.864081330485,senior,normal
F,oui,bac+2,Occitanie,non,oui,500,marié,3.0,0.69,2024-03-03,400.0,,12534.086087338055,adulte,obese
F,oui,doctorat,Hauts-de-France,oui,oui,3466,,,0.57,2020-03-29,519.0,5000.0,17023.97520924748,adulte,normal
F,oui,bac,Occitanie,non,non,3906,marié,,0.36,2020-07-06,,,2813.500497804289,senior,normal
F,non,bac+2,Normandie,non,oui,500,veuf,,0.05,2022-10-24,,,7650.239810585742,jeune,obese
H,non,doctorat,Normandie,oui,oui,2481,divorcé,5.0,0.99,2020-09-19,579.0,5000.0,14225.3372344427,adulte,obese
H,non,aucun,Auvergne-Rhône-Alpes,non,oui,942,veuf,,0.35,2022-01-07,,5000.0,500.0,jeune,insuffisant
F,oui,bac,Auvergne-Rhône-Alpes,oui,oui,1559,,,0.84,2024-11-25,567.0,5000.0,500.0,senior,normal
H,non,bac+2,Bretagne,non,oui,1767,veuf,2.0,0.44,2020-05-26,,992.53,15635.971719797486,retraite,surpoids
H,oui,master,Île-de-France,oui,oui,3425,célibataire,,0.8,2020-08-03,686.0,5000.0,18764.585626528544,retraite,obese
H,oui,bac,Hauts-de-France,non,oui,943,marié,2.0,0.47,2022-07-12,360.0,10000.0,5572.693231935993,adulte,insuffisant
H,non,aucun,Île-de-France,non,oui,1358,divorcé,,0.49,2023-06-15,305.0,10000.0,4586.889041982074,senior,normal
H,non,aucun,Bretagne,non,non,2779,divorcé,3.0,0.09,2020-03-11,411.0,10000.0,500.0,jeune,normal
H,oui,aucun,Île-de-France,non,oui,1621,divorcé,3.0,0.76,2024-11-08,385.0,,16177.121288527109,retraite,insuffisant
F,oui,bac+2,Corse,oui,oui,1195,veuf,,0.14,2023-05-21,833.0,10000.0,500.0,adulte,surpoids
F,non,doctorat,Hauts-de-France,oui,oui,3333,célibataire,,0.19,2020-09-10,,10000.0,8943.350242989567,senior,normal
F,oui,aucun,Provence-Alpes-Côte d’Azur,non,oui,2796,marié,4.0,0.54,2022-06-03,,5000.0,12787.499641856708,jeune,obese
F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,non,3871,divorcé,,0.19,2020-08-17,,,500.0,retraite,normal
H,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,3159,divorcé,,0.2,2021-12-30,,1050.15,500.0,adulte,insuffisant
H,non,bac,Occitanie,oui,oui,1641,veuf,4.0,0.74,2022-02-15,,713.54,500.0,retraite,surpoids
F,non,bac+2,Bretagne,non,oui,500,,0.0,0.14,2020-04-30,331.0,,3602.0572172903267,jeune,surpoids
H,non,master,Bretagne,non,non,3175,,,0.5,2022-07-26,360.0,,580.3723833248425,senior,surpoids
H,non,bac,Bretagne,oui,oui,2425,veuf,,0.99,2020-10-06,381.0,5000.0,4133.895360615895,retraite,normal
F,non,aucun,Occitanie,non,oui,3212,divorcé,5.0,0.61,2022-09-30,,5000.0,2371.972611770464,jeune,normal
F,oui,master,Auvergne-Rhône-Alpes,oui,non,2022,veuf,,0.3,2020-05-08,,1070.67,500.0,adulte,normal
H,oui,master,Auvergne-Rhône-Alpes,oui,oui,2308,veuf,,0.3,2023-11-22,,,16957.3941868435,adulte,surpoids
H,non,aucun,Île-de-France,non,oui,2613,,0.0,0.34,2022-02-16,670.0,5000.0,7438.027916673134,retraite,obese
F,oui,doctorat,Hauts-de-France,non,oui,5345,marié,1.0,0.63,2020-06-04,363.0,,28168.06385337335,retraite,normal
F,oui,aucun,Bretagne,non,oui,500,divorcé,,0.06,2020-08-05,,10000.0,12046.205178867209,jeune,normal
H,oui,aucun,Hauts-de-France,non,non,1776,marié,1.0,0.43,2025-01-29,,5000.0,500.0,senior,insuffisant
H,non,bac+2,Corse,non,oui,3453,marié,,0.93,2020-04-15,,10000.0,14069.071759640394,adulte,normal
H,oui,doctorat,Normandie,non,non,4510,marié,5.0,0.34,2024-09-27,,5000.0,14476.711366790529,jeune,insuffisant
H,non,bac,Provence-Alpes-Côte d’Azur,non,oui,3432,veuf,1.0,0.48,2023-02-21,,,28433.95647982497,retraite,surpoids
H,oui,bac,Bretagne,oui,non,3050,divorcé,,0.15,2023-05-09,652.0,,500.0,senior,surpoids
F,non,bac+2,Occitanie,oui,non,2651,marié,,0.94,2022-10-31,836.0,,500.0,adulte,normal
H,oui,bac+2,Hauts-de-France,oui,oui,2142,marié,,0.04,2023-03-27,,5000.0,500.0,jeune,surpoids
H,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,4102,célibataire,1.0,0.83,2020-03-26,,,43887.63323854497,senior,surpoids
H,non,aucun,Provence-Alpes-Côte d’Azur,non,non,2161,marié,3.0,0.06,2025-03-05,,421.1,500.0,retraite,normal
H,oui,doctorat,Bretagne,oui,oui,2061,divorcé,,0.78,2021-04-06,,,18751.338613719585,adulte,surpoids
F,oui,doctorat,Provence-Alpes-Côte d’Azur,non,oui,2806,,,0.3,2020-05-17,,,33790.934028461925,jeune,surpoids
F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,1809,divorcé,,0.79,2020-03-31,,,1846.089316631996,jeune,normal
F,oui,bac+2,Normandie,non,oui,3974,,4.0,0.96,2023-07-11,303.0,,23670.74957331744,adulte,normal
F,non,bac+2,Corse,oui,non,1245,marié,4.0,0.53,2024-04-10,,,500.0,jeune,insuffisant
F,oui,aucun,Île-de-France,oui,non,1285,célibataire,,0.72,2024-05-05,667.0,5000.0,500.0,,normal
H,oui,aucun,Hauts-de-France,oui,oui,3991,divorcé,1.0,0.11,2021-05-17,,10000.0,500.0,retraite,insuffisant
H,non,bac,Occitanie,non,non,1061,,,0.03,2022-08-14,,846.98,500.0,retraite,normal
F,oui,bac,Normandie,oui,oui,3686,marié,2.0,0.87,2024-04-28,390.0,566.08,7549.507251288014,adulte,surpoids
F,non,master,Occitanie,oui,oui,3650,célibataire,,0.94,2023-11-20,,5000.0,12762.371866272675,retraite,normal
F,oui,aucun,Bretagne,oui,oui,2768,célibataire,5.0,0.65,2020-12-02,,,6847.684831678455,senior,insuffisant
F,oui,bac,Hauts-de-France,oui,oui,1326,célibataire,5.0,0.53,2020-09-08,,,500.0,senior,normal
H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,1237,veuf,,0.16,2020-01-17,744.0,,8128.129620552187,jeune,normal
F,oui,bac,Occitanie,non,oui,1173,célibataire,,0.68,2022-07-02,428.0,,3681.123044139684,retraite,obese
H,oui,doctorat,Corse,oui,oui,2571,célibataire,,0.42,2023-10-02,620.0,5000.0,15089.998384791275,senior,insuffisant
H,oui,bac+2,Occitanie,non,oui,2583,célibataire,,0.86,2024-06-18,,421.32,20579.7385473986,senior,normal
F,non,doctorat,Île-de-France,oui,oui,3935,,,0.2,2022-11-06,,10000.0,28400.018228752502,retraite,normal
H,oui,bac+2,Île-de-France,non,non,1272,,1.0,0.04,2020-11-18,,,500.0,retraite,normal
F,oui,bac,Hauts-de-France,non,oui,2320,célibataire,5.0,0.73,2023-04-22,,5000.0,13337.63621486146,jeune,surpoids
F,oui,bac+2,Bretagne,non,oui,500,marié,4.0,0.26,2023-06-22,562.0,10000.0,12483.11135845582,jeune,insuffisant
H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,2521,,4.0,0.92,2024-09-09,,10000.0,27258.509415783898,adulte,surpoids
H,non,bac+2,Provence-Alpes-Côte d’Azur,non,non,565,marié,4.0,0.85,2021-12-11,468.0,734.92,500.0,senior,obese
H,non,bac,Auvergne-Rhône-Alpes,non,non,626,célibataire,3.0,0.39,2025-06-06,655.0,770.38,500.0,adulte,surpoids
F,oui,master,Normandie,oui,non,3646,divorcé,1.0,0.36,2021-09-03,,543.18,500.0,adulte,insuffisant
F,oui,doctorat,Hauts-de-France,oui,non,869,veuf,3.0,0.77,2024-06-17,484.0,1053.52,500.0,,surpoids
F,oui,master,Auvergne-Rhône-Alpes,oui,oui,3370,veuf,3.0,0.83,2022-05-19,844.0,,26325.54973326867,retraite,normal
H,non,bac+2,Hauts-de-France,oui,oui,1974,marié,4.0,0.94,2020-06-13,,10000.0,9046.498896998608,senior,normal
F,oui,aucun,Provence-Alpes-Côte d’Azur,non,non,2656,célibataire,,0.31,2025-02-02,,,500.0,adulte,obese
F,oui,bac,Île-de-France,non,oui,3330,,5.0,0.4,2023-04-30,,10000.0,24341.10694073292,senior,obese
H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,1121,veuf,,0.82,2025-01-31,,,1198.40278870796,adulte,normal
F,non,bac,Hauts-de-France,oui,oui,4298,,,0.76,2025-03-18,,,500.0,senior,surpoids
F,oui,doctorat,Corse,non,non,3155,célibataire,2.0,0.76,2021-08-31,510.0,5000.0,500.0,jeune,normal
H,non,aucun,Auvergne-Rhône-Alpes,oui,non,3151,marié,5.0,0.29,2025-03-01,363.0,5000.0,500.0,jeune,normal
H,oui,aucun,Provence-Alpes-Côte d’Azur,oui,oui,1930,célibataire,,0.52,2024-06-28,,10000.0,7347.346017845576,senior,surpoids
H,non,bac+2,Auvergne-Rhône-Alpes,non,non,4354,veuf,,0.55,2020-10-20,619.0,,500.0,senior,normal
H,non,bac,Provence-Alpes-Côte d’Azur,non,non,2327,célibataire,,0.64,2025-01-16,,10000.0,500.0,adulte,obese
H,oui,bac,Auvergne-Rhône-Alpes,non,non,2542,divorcé,2.0,0.29,2021-04-06,421.0,10000.0,500.0,adulte,normal
H,oui,doctorat,Auvergne-Rhône-Alpes,non,non,1928,veuf,4.0,0.53,2024-12-16,,5000.0,500.0,adulte,normal
F,non,bac,Corse,non,non,3144,divorcé,,0.71,2021-02-03,,175.25,500.0,retraite,obese
F,non,bac+2,Hauts-de-France,non,oui,1311,marié,4.0,0.32,2023-03-03,,5000.0,500.0,retraite,normal
H,oui,bac,Hauts-de-France,oui,oui,2073,,5.0,0.17,2022-01-14,517.0,5000.0,2957.735052299841,retraite,insuffisant
H,oui,bac,Normandie,oui,oui,2271,marié,,0.01,2024-07-11,,5000.0,10100.043128108056,senior,normal
H,oui,aucun,Hauts-de-France,non,non,500,célibataire,,0.23,2021-09-03,807.0,5000.0,500.0,senior,insuffisant
H,oui,master,Normandie,non,oui,1726,veuf,0.0,0.24,2025-06-04,,10000.0,18950.107921604256,retraite,normal
H,non,master,Auvergne-Rhône-Alpes,non,non,2293,marié,,0.27,2023-05-08,,884.55,564.7858833290218,senior,normal
F,non,bac,Normandie,oui,oui,2531,marié,,0.73,2022-08-15,500.0,5000.0,500.0,adulte,insuffisant
F,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,1414,marié,0.0,0.98,2022-04-19,344.0,5000.0,13904.822032884444,senior,normal
H,non,aucun,Corse,oui,oui,3963,divorcé,2.0,0.43,2021-12-24,,5000.0,500.0,retraite,normal
H,oui,master,Occitanie,oui,oui,3299,marié,,0.32,2021-06-18,,,16118.51763534448,senior,normal
F,non,aucun,Hauts-de-France,oui,non,1144,divorcé,,0.15,2022-10-24,,,500.0,senior,surpoids
H,oui,bac,Corse,oui,non,3106,divorcé,,0.37,2025-03-26,,5000.0,500.0,retraite,normal
F,non,bac,Normandie,non,non,2301,marié,,0.66,2023-10-10,,1215.84,500.0,senior,normal
H,non,aucun,Corse,non,oui,2920,,,0.11,2021-07-19,765.0,10000.0,500.0,jeune,obese
F,non,bac,Hauts-de-France,non,oui,4147,,1.0,0.58,2021-09-19,,10000.0,1303.426423485049,adulte,normal
F,non,bac+2,Bretagne,non,non,1804,marié,,0.3,2022-02-20,,5000.0,500.0,adulte,surpoids
F,oui,master,Hauts-de-France,non,non,2762,veuf,5.0,0.32,2022-06-29,440.0,,500.0,adulte,surpoids
F,oui,doctorat,Auvergne-Rhône-Alpes,non,non,2489,divorcé,,0.21,2023-06-27,623.0,,5228.925359555471,senior,normal
F,non,aucun,Hauts-de-France,oui,oui,500,marié,,0.68,2024-01-30,,5000.0,500.0,retraite,normal
H,non,master,Provence-Alpes-Côte d’Azur,non,non,1990,marié,,0.06,2023-07-15,,5000.0,500.0,adulte,normal
F,non,aucun,Corse,oui,oui,3217,,3.0,0.92,2021-10-19,,5000.0,500.0,jeune,normal
H,non,bac+2,Provence-Alpes-Côte d’Azur,oui,non,1828,marié,,0.05,2024-05-27,,5000.0,500.0,senior,insuffisant
H,oui,master,Provence-Alpes-Côte d’Azur,non,oui,1712,divorcé,,0.6,2024-02-12,,551.68,30608.618250535248,senior,normal
H,non,master,Hauts-de-France,oui,oui,633,divorcé,1.0,0.92,2021-04-21,300.0,10000.0,3681.716862447288,jeune,normal
H,non,bac,Corse,non,oui,3586,célibataire,,0.32,2023-05-28,788.0,296.61,11435.755695720103,jeune,insuffisant
H,oui,aucun,Hauts-de-France,non,non,3344,veuf,2.0,0.69,2021-05-12,791.0,,500.0,adulte,insuffisant
H,non,bac,Occitanie,oui,non,1808,divorcé,,0.45,2024-03-02,689.0,,500.0,retraite,surpoids
H,non,aucun,Provence-Alpes-Côte d’Azur,oui,oui,3383,veuf,,0.49,2022-05-02,804.0,5000.0,2600.2234067969134,retraite,obese
H,oui,doctorat,Hauts-de-France,non,oui,3568,divorcé,1.0,0.46,2021-03-03,784.0,1006.02,38581.58326076975,adulte,normal
H,non,doctorat,Corse,oui,oui,3605,divorcé,1.0,0.61,2021-05-27,546.0,5000.0,14852.347077061037,senior,normal
F,oui,master,Corse,non,oui,1995,divorcé,5.0,0.25,2023-10-24,488.0,5000.0,11408.76158074839,jeune,normal
H,non,bac,Bretagne,non,oui,678,veuf,,0.52,2022-11-02,,1039.94,8427.301954426792,adulte,normal
F,non,bac+2,Hauts-de-France,non,oui,2619,divorcé,2.0,0.35,2022-06-18,670.0,10000.0,7589.296723322725,retraite,obese
H,oui,doctorat,Bretagne,oui,oui,4122,divorcé,0.0,0.03,2023-08-12,615.0,281.27,37021.24314335338,adulte,insuffisant
H,oui,bac,Auvergne-Rhône-Alpes,oui,non,2083,,4.0,0.2,2021-12-21,430.0,825.08,500.0,jeune,normal
F,oui,doctorat,Occitanie,non,oui,4064,,1.0,0.2,2023-02-22,,1090.72,38597.40698768768,adulte,insuffisant
F,non,doctorat,Occitanie,non,oui,2119,,2.0,0.6,2020-02-12,682.0,5000.0,27709.49832108441,adulte,obese
H,non,bac,Hauts-de-France,non,non,4204,célibataire,,0.79,2022-04-14,332.0,874.31,500.0,retraite,surpoids
H,non,master,Normandie,non,non,606,célibataire,,0.8,2020-05-08,562.0,10000.0,500.0,senior,obese
F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,3578,,,0.83,2024-02-23,790.0,5000.0,26303.44957979199,retraite,normal
F,non,doctorat,Occitanie,oui,oui,500,divorcé,1.0,0.36,2022-03-12,,5000.0,500.0,retraite,insuffisant
F,non,bac+2,Corse,oui,oui,2471,veuf,5.0,0.8,2020-01-11,,10000.0,500.0,jeune,obese
H,oui,bac,Île-de-France,oui,oui,3292,veuf,,0.93,2022-04-26,,10000.0,7560.603246361036,jeune,normal
H,oui,doctorat,Provence-Alpes-Côte d’Azur,oui,non,1775,célibataire,1.0,0.41,2025-03-02,573.0,,8427.679988847724,,normal
F,oui,doctorat,Occitanie,oui,non,500,,4.0,0.71,2020-09-01,,1257.37,500.0,adulte,surpoids
H,non,bac,Île-de-France,oui,oui,2542,célibataire,,0.99,2024-05-06,763.0,10000.0,10264.314606260545,adulte,insuffisant
H,oui,doctorat,Normandie,oui,non,2832,,,0.68,2024-01-12,688.0,,500.0,senior,normal
H,non,aucun,Bretagne,non,non,1852,,3.0,0.65,2020-01-16,,10000.0,500.0,adulte,surpoids
F,non,bac+2,Île-de-France,non,non,1368,célibataire,,0.46,2024-12-24,561.0,,500.0,jeune,surpoids
F,non,doctorat,Corse,oui,non,2180,veuf,,0.11,2025-03-10,415.0,,500.0,jeune,obese
F,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,1185,,1.0,0.6,2021-09-19,423.0,761.76,500.0,retraite,obese
F,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,1608,veuf,,0.05,2023-05-29,712.0,,19948.55530577029,adulte,insuffisant
H,oui,bac+2,Île-de-France,non,non,1930,marié,1.0,0.5,2022-11-26,595.0,,500.0,adulte,normal
F,non,bac,Hauts-de-France,oui,oui,2403,veuf,2.0,0.3,2023-05-07,,,500.0,senior,obese
F,oui,master,Hauts-de-France,non,non,1111,veuf,,0.94,2023-02-25,380.0,,500.0,jeune,obese
F,oui,bac+2,Hauts-de-France,oui,oui,1901,célibataire,0.0,0.13,2023-08-02,,10000.0,9346.241062621397,retraite,insuffisant
F,oui,aucun,Île-de-France,non,non,5059,célibataire,5.0,0.69,2021-09-20,,,3578.8122995430704,retraite,insuffisant
H,non,aucun,Provence-Alpes-Côte d’Azur,oui,non,2448,célibataire,1.0,0.13,2020-09-21,413.0,5000.0,500.0,retraite,normal
H,oui,master,Normandie,oui,oui,3860,veuf,,0.65,2024-08-17,,5000.0,21105.465723365476,adulte,normal
H,oui,bac+2,Hauts-de-France,oui,non,3676,divorcé,0.0,0.88,2024-02-22,353.0,764.54,500.0,adulte,obese
F,oui,aucun,Bretagne,oui,non,2897,célibataire,,0.75,2022-07-21,,5000.0,500.0,senior,normal
F,non,bac,Hauts-de-France,oui,non,2327,marié,,0.43,2020-05-09,,210.57,500.0,adulte,normal
F,oui,doctorat,Auvergne-Rhône-Alpes,non,non,1307,divorcé,,0.57,2023-11-13,,1313.32,6309.4498277366265,adulte,normal
F,oui,master,Bretagne,oui,non,4607,,0.0,0.52,2021-07-23,523.0,867.14,500.0,retraite,normal
H,oui,master,Normandie,non,oui,3180,divorcé,3.0,0.6,2024-10-03,,,36556.59307284404,senior,surpoids
